LLIW,SubjVertMo,LoLevMoistAd,N0_7muVerMo,WndHodograph,MorningBound,LIfr12ZDENSd,IRCloudCover,Date,QGVertMotion,SatContMoist,AMInstabMt,MorningCIN,RaoContMoist,AMDewptCalPl,VISCloudCov,LatestCIN,CurPropConv,CombVerMo,InsChange,Boundaries,OutflowFrMt,CldShadeConv,AMInsWliScen,CombClouds,Scenario,CombMoisture,InsInMt,AMCINInScen,PlainsFcst,AreaMeso_ALS,InsSclInScen,CompPlFcst,CldShadeOth,MeanRH,WindFieldMt,SynForcng,ScenRel3_4,WindAloft,ScenRelAMIns,Dewpoints,LowLLapse,MvmtFeatures,SfcWndShfDis,RHRatio,MidLLapse,ScnRelPlFcst,WindFieldPln,ScenRelAMCIN,TempDis,AreaMoDryAir,MountainFcst,CapInScen,N34StarFcst,CapChange,R5Fcst
Unfavorable,Neutral,WeakPos,Down,DCVZFavor,Weak,N5GtLIGt_8,Clear,Jul16_Aug10,Neutral,Dry,Weak,PartInhibit,Dry,Stability,PC,Stifling,None,Neutral,Decreasing,Strong,Strong,None,MoreUnstable,PC,B,Wet,Strong,Average,NIL,Neutral,LessUnstable,IncCapDecIns,PC,Dry,Westerly,PosToNeg,B,AllElse,ABI,LowNHighS,Steep,NoMajor,None,Other,CloseToDryAd,B,DenvCyclone,AB,QStationary,Wet,SVR,Average,NIL,Increasing,SVR
Strong,Neutral,Negative,WeakUp,Westerly,Weak,N5GtLIGt_8,Clear,Aug20_Sep15,StrongUp,Neutral,None,Stifling,Dry,Neutral,PC,PartInhibit,Strong,StrongUp,Decreasing,Weak,None,Marked,MoreUnstable,PC,J,Dry,None,Average,SIG,StrongUp,LessUnstable,LittleChange,Cloudy,Dry,LVorOther,LittleChange,GJ,LV,CDEJ,LowMtsHighPl,Stable,NoMajor,DryLine,Other,Steep,J,DenvCyclone,CThruK,Other,Neutral,NIL,Average,SIG,LittleChange,SIG
Weak,Neutral,Neutral,StrongUp,StrongWest,Weak,N1GtLIGt_4,Clear,May15_Jun14,Neutral,VeryWet,Weak,None,Dry,Stability,PC,PartInhibit,Slight,WeakUp,LittleChange,Strong,Weak,None,MoreUnstable,Clear,G,Wet,Strong,LessThanAve,SVR,WeakUp,Average,DecCapIncIns,Clear,Dry,Westerly,LittleChange,GJ,LV,G,Other,CloseToDryAd,NoMajor,Other,Other,CloseToDryAd,G,WidespdDnsl,CThruK,Other,Wet,NIL,LessThanAve,SVR,Decreasing,SVR
Strong,StronUp,Neutral,StrongUp,DCVZFavor,Weak,N5GtLIGt_8,Clear,Aug20_Sep15,Down,Wet,Weak,Stifling,Dry,Instability,Cloudy,None,Strong,WeakUp,Decreasing,Strong,Weak,Some,MoreUnstable,Cloudy,K,Wet,Strong,Average,SIG,WeakUp,MoreUnstable,DecCapIncIns,Cloudy,Dry,Westerly,NegToPos,ACEFK,AllElse,K,Other,Stable,StrongFront,E_W_N,DryMMoistL,ModerateOrLe,K,WidespdDnsl,CThruK,QStationary,Wet,SVR,Average,SIG,Decreasing,SVR
Weak,Down,Negative,Neutral,DCVZFavor,Weak,N1GtLIGt_4,PC,Jul16_Aug10,Neutral,Neutral,None,Stifling,Wet,Neutral,Clear,PartInhibit,None,Down,Decreasing,Strong,Weak,None,LessUnstable,Clear,E,Neutral,None,Average,NIL,Down,LessUnstable,IncCapDecIns,Clear,Average,Westerly,PosToNeg,ACEFK,SWQuad,CDEJ,LowEvrywhere,CloseToDryAd,NoMajor,None,MoistMDryL,ModerateOrLe,E,LV,CThruK,QStationary,Neutral,NIL,Average,NIL,Increasing,NIL
,Neutral,Neutral,Down,Other,None,N5GtLIGt_8,Cloudy,Jun15_Jul1,StrongUp,Dry,Strong,PartInhibit,Neutral,Instability,PC,Stifling,None,Down,LittleChange,Weak,None,None,MoreUnstable,Cloudy,C,Dry,Strong,MoreThanAve,NIL,Down,MoreUnstable,IncCapDecIns,PC,Dry,Westerly,SigPositive,ACEFK,NWQuad,CDEJ,LowEvrywhere,Steep,NoMajor,E_W_N,MoistMDryL,ModerateOrLe,C,LongAnticyc,CThruK,None,Dry,SIG,MoreThanAve,NIL,Increasing,SIG
Weak,Neutral,Negative,StrongUp,Other,Strong,N5GtLIGt_8,PC,Aug11_Aug20,StrongUp,Neutral,Strong,Stifling,Wet,Instability,PC,None,Strong,StrongUp,Decreasing,Strong,None,None,Average,PC,K,Wet,Strong,Average,SIG,StrongUp,Average,DecCapIncIns,Cloudy,Dry,LVorOther,SigNegative,ACEFK,NWQuad,K,Other,Steep,StrongFront,MovingFtorOt,Other,CloseToDryAd,K,WidespdDnsl,CThruK,QStationary,VeryWet,NIL,Average,SIG,Decreasing,SIG
Weak,Neutral,Neutral,WeakUp,Other,Weak,N5GtLIGt_8,,May15_Jun14,Down,Neutral,None,Stifling,Neutral,Neutral,Cloudy,None,Strong,Neutral,LittleChange,,None,Some,Average,Cloudy,A,Neutral,None,Average,SIG,Neutral,Average,DecCapIncIns,Cloudy,Dry,Westerly,PosToNeg,ACEFK,SWQuad,ABI,LowMtsHighPl,ModerateOrLe,MarkedUpper,DryLine,Other,Steep,A,LV,AB,Other,Neutral,NIL,Average,SIG,Decreasing,SIG
Moderate,Neutral,Neutral,Down,StrongWest,Strong,N1GtLIGt_4,Clear,May15_Jun14,Down,Wet,Weak,PartInhibit,Dry,Neutral,PC,None,Moderate,Down,LittleChange,Strong,Weak,None,LessUnstable,PC,A,Dry,Strong,Average,NIL,Down,LessUnstable,LittleChange,Clear,Dry,Westerly,LittleChange,ACEFK,SWQuad,ABI,LowEvrywhere,ModerateOrLe,OtherRapid,MovingFtorOt,Other,CloseToDryAd,A,LV,AB,Other,Dry,NIL,Average,NIL,LittleChange,NIL
Weak,WeakUp,Neutral,Neutral,Westerly,Weak,N5GtLIGt_8,Clear,May15_Jun14,Neutral,Neutral,Strong,Stifling,Neutral,Instability,PC,Stifling,None,Neutral,LittleChange,None,None,None,Average,Clear,C,Neutral,Strong,MoreThanAve,SIG,Neutral,Average,IncCapDecIns,Clear,Average,Westerly,SigNegative,ACEFK,NWQuad,CDEJ,LowEvrywhere,Steep,MarkedUpper,E_W_N,DryMMoistL,ModerateOrLe,C,WidespdDnsl,CThruK,Moving,Neutral,SVR,MoreThanAve,NIL,Increasing,SVR
Strong,WeakUp,WeakPos,WeakUp,StrongWest,None,N5GtLIGt_8,PC,May15_Jun14,Neutral,Neutral,Strong,PartInhibit,Neutral,Instability,PC,PartInhibit,Strong,WeakUp,Increasing,None,Strong,None,Average,PC,B,Neutral,Strong,Average,SIG,WeakUp,Average,IncCapDecIns,Cloudy,VeryMoist,LVorOther,PosToNeg,B,NWQuad,ABI,LowMtsHighPl,ModerateOrLe,NoMajor,DenvCyclone,Other,ModerateOrLe,B,SEQuad,AB,Other,Wet,SIG,Average,SIG,Increasing,SIG
Weak,WeakUp,WeakPos,Neutral,Westerly,Weak,N5GtLIGt_8,Clear,May15_Jun14,Neutral,Neutral,None,None,Dry,Stability,Clear,PartInhibit,Slight,WeakUp,Decreasing,Weak,None,None,MoreUnstable,Clear,K,Dry,None,LessThanAve,NIL,WeakUp,LessUnstable,LittleChange,Clear,Average,Westerly,SigPositive,ACEFK,NWQuad,K,LowNHighS,ModerateOrLe,MarkedUpper,DenvCyclone,DryMMoistL,ModerateOrLe,K,SEQuad,CThruK,Other,Dry,NIL,,NIL,LittleChange,NIL
Unfavorable,Neutral,Neutral,WeakUp,Westerly,Strong,N5GtLIGt_8,Cloudy,Aug11_Aug20,Neutral,Neutral,Weak,None,Neutral,Neutral,Cloudy,PartInhibit,Slight,Neutral,LittleChange,None,None,None,Average,Cloudy,K,Neutral,Strong,LessThanAve,SVR,Neutral,Average,IncCapDecIns,Cloudy,Dry,Westerly,SigNegative,ACEFK,NWQuad,K,LowAtStation,Steep,MarkedUpper,MovingFtorOt,Other,ModerateOrLe,K,LongAnticyc,CThruK,Moving,Neutral,SVR,LessThanAve,SVR,Increasing,SVR
Moderate,Neutral,Negative,Neutral,StrongWest,Weak,N1GtLIGt_4,Clear,Aug20_Sep15,Neutral,Neutral,None,PartInhibit,Neutral,Stability,PC,Stifling,Slight,Neutral,Decreasing,Strong,Strong,None,LessUnstable,PC,J,Neutral,None,Average,NIL,Neutral,LessUnstable,IncCapDecIns,Cloudy,Dry,LVorOther,LittleChange,GJ,LV,CDEJ,LowMtsHighPl,Steep,NoMajor,E_W_S,MoistMDryL,ModerateOrLe,J,LV,CThruK,None,Neutral,NIL,Average,NIL,Increasing,NIL
Unfavorable,WeakUp,WeakPos,Down,StrongWest,None,N5GtLIGt_8,Clear,Jul16_Aug10,WeakUp,Neutral,None,PartInhibit,Dry,Instability,Clear,PartInhibit,None,Neutral,Increasing,None,Strong,None,MoreUnstable,Clear,B,Neutral,None,Average,NIL,Neutral,MoreUnstable,IncCapDecIns,Clear,VeryMoist,LVorOther,PosToNeg,B,NWQuad,ABI,LowMtsHighPl,Stable,NoMajor,E_W_S,DryMMoistL,CloseToDryAd,B,DenvCyclone,AB,Other,Neutral,NIL,Average,NIL,Increasing,NIL
Moderate,Neutral,StrongPos,Neutral,StrongWest,None,,PC,Aug20_Sep15,WeakUp,Neutral,Strong,TotalInhibit,VeryWet,Neutral,PC,PartInhibit,Moderate,Neutral,Increasing,None,Weak,None,Average,PC,A,VeryWet,Strong,MoreThanAve,NIL,Neutral,MoreUnstable,IncCapDecIns,PC,VeryMoist,Westerly,SigNegative,ACEFK,SWQuad,ABI,HighEvrywher,Stable,StrongFront,DenvCyclone,Other,CloseToDryAd,A,DenvCyclone,AB,None,VeryWet,SIG,MoreThanAve,NIL,Increasing,SIG
Weak,Down,Negative,StrongUp,Westerly,Strong,N1GtLIGt_4,PC,Aug20_Sep15,Down,Neutral,None,Stifling,Neutral,Stability,Clear,None,Strong,Down,LittleChange,Strong,None,None,LessUnstable,Clear,C,Neutral,None,Average,SIG,Down,LessUnstable,DecCapIncIns,Clear,Average,Westerly,SigPositive,ACEFK,NWQuad,CDEJ,LowEvrywhere,Steep,OtherRapid,E_W_N,Other,CloseToDryAd,C,LongAnticyc,CThruK,None,Dry,NIL,Average,SIG,Decreasing,SIG
Weak,Neutral,Negative,Down,Westerly,None,N1GtLIGt_4,PC,Jul16_Aug10,Neutral,Wet,Weak,PartInhibit,Neutral,Instability,PC,None,Slight,Down,LittleChange,Weak,None,Marked,MoreUnstable,PC,J,Neutral,Strong,LessThanAve,SVR,Down,MoreUnstable,IncCapDecIns,Clear,Average,Westerly,LittleChange,GJ,LV,CDEJ,LowEvrywhere,ModerateOrLe,NoMajor,DryLine,DryMMoistL,Steep,J,LongAnticyc,CThruK,Other,Neutral,SVR,LessThanAve,SVR,Increasing,SVR
Weak,Neutral,Neutral,StrongUp,Other,None,N1GtLIGt_4,PC,Jun15_Jul1,Neutral,Dry,Weak,None,Neutral,Stability,Clear,None,None,WeakUp,Decreasing,Weak,None,None,,Clear,G,Dry,Strong,LessThanAve,NIL,WeakUp,Average,LittleChange,PC,Dry,Westerly,LittleChange,GJ,AllElse,G,LowEvrywhere,CloseToDryAd,NoMajor,Other,MoistMDryL,CloseToDryAd,G,LV,CThruK,None,Neutral,SIG,LessThanAve,NIL,LittleChange,SIG
Moderate,Neutral,WeakPos,Neutral,Westerly,Strong,N5GtLIGt_8,PC,May15_Jun14,Neutral,Neutral,None,None,Neutral,Stability,Clear,None,Strong,Neutral,Decreasing,Strong,None,None,Average,Clear,D,Wet,None,LessThanAve,SIG,Neutral,LessUnstable,IncCapDecIns,Clear,Dry,Westerly,PosToNeg,D,NWQuad,CDEJ,LowAtStation,ModerateOrLe,MarkedUpper,DryLine,DryMMoistL,Steep,D,SEQuad,CThruK,Other,Neutral,NIL,LessThanAve,SIG,Increasing,SIG
Strong,Neutral,WeakPos,Neutral,StrongWest,Weak,N1GtLIGt_4,PC,Jul2_Jul15,Neutral,VeryWet,Strong,None,Neutral,Stability,Cloudy,Stifling,Strong,Neutral,Increasing,Strong,Strong,None,Average,Cloudy,C,VeryWet,Strong,LessThanAve,SIG,Neutral,MoreUnstable,LittleChange,Cloudy,Dry,Westerly,LittleChange,ACEFK,SWQuad,CDEJ,LowMtsHighPl,Steep,MarkedUpper,E_W_N,MoistMDryL,Steep,C,WidespdDnsl,CThruK,Other,VeryWet,SIG,LessThanAve,SIG,LittleChange,SIG
Moderate,Neutral,WeakPos,WeakUp,Westerly,None,N1GtLIGt_4,Clear,Jul2_Jul15,Neutral,Dry,Weak,TotalInhibit,Dry,Stability,PC,None,Strong,Neutral,Decreasing,Weak,None,None,LessUnstable,Clear,C,Neutral,Strong,MoreThanAve,SIG,Neutral,LessUnstable,LittleChange,Clear,Average,Westerly,NegToPos,ACEFK,AllElse,CDEJ,LowEvrywhere,CloseToDryAd,OtherRapid,Other,MoistMDryL,CloseToDryAd,C,LongAnticyc,CThruK,Moving,Neutral,SVR,MoreThanAve,SIG,LittleChange,SVR
Unfavorable,Neutral,WeakPos,Down,Other,None,N5GtLIGt_8,Clear,Aug20_Sep15,Neutral,Wet,Strong,PartInhibit,Neutral,Neutral,PC,PartInhibit,None,Down,Decreasing,Weak,None,Some,LessUnstable,PC,G,Neutral,Strong,LessThanAve,NIL,Down,LessUnstable,IncCapDecIns,Clear,Dry,Westerly,SigNegative,GJ,SWQuad,G,LowAtStation,CloseToDryAd,OtherRapid,None,MoistMDryL,CloseToDryAd,G,WidespdDnsl,CThruK,QStationary,Neutral,SIG,LessThanAve,NIL,Increasing,SIG
Strong,WeakUp,WeakPos,Down,Westerly,Weak,N1GtLIGt_4,PC,Jul2_Jul15,Neutral,Neutral,Weak,PartInhibit,Neutral,Stability,PC,None,Moderate,Neutral,Increasing,None,None,None,LessUnstable,PC,E,Neutral,Strong,MoreThanAve,SVR,Neutral,Average,IncCapDecIns,Clear,Average,Westerly,NegToPos,ACEFK,SWQuad,CDEJ,LowSHighN,Steep,NoMajor,None,MoistMDryL,ModerateOrLe,E,LV,CThruK,None,Neutral,SVR,MoreThanAve,SVR,Increasing,SVR
Moderate,Down,Neutral,StrongUp,Other,Strong,N1GtLIGt_4,Cloudy,Aug20_Sep15,WeakUp,Neutral,None,PartInhibit,Neutral,Instability,PC,None,Slight,Down,LittleChange,Strong,None,Some,MoreUnstable,Cloudy,C,Neutral,None,LessThanAve,NIL,Down,MoreUnstable,LittleChange,PC,Dry,Westerly,SigPositive,ACEFK,NWQuad,CDEJ,LowMtsHighPl,Steep,MarkedUpper,DryLine,DryMMoistL,CloseToDryAd,C,LongAnticyc,CThruK,None,Dry,NIL,LessThanAve,NIL,LittleChange,NIL
Moderate,Neutral,Negative,StrongUp,DCVZFavor,None,N5GtLIGt_8,PC,Aug20_Sep15,Neutral,Neutral,None,Stifling,Wet,Instability,Cloudy,TotalInhibit,None,WeakUp,LittleChange,Strong,None,None,MoreUnstable,Cloudy,J,Neutral,None,Average,NIL,WeakUp,MoreUnstable,DecCapIncIns,Cloudy,Average,LVorOther,LittleChange,GJ,LV,CDEJ,LowMtsHighPl,ModerateOrLe,NoMajor,DryLine,Other,ModerateOrLe,J,LV,CThruK,Other,Wet,NIL,Average,NIL,Decreasing,NIL
Strong,Down,Negative,WeakUp,Westerly,None,N5GtLIGt_8,PC,Jul16_Aug10,Neutral,Neutral,None,,VeryWet,Stability,PC,PartInhibit,Strong,Neutral,Decreasing,Weak,None,Marked,MoreUnstable,PC,B,Neutral,None,LessThanAve,SIG,Neutral,LessUnstable,IncCapDecIns,PC,Average,LVorOther,LittleChange,,AllElse,ABI,LowSHighN,Steep,NoMajor,MovingFtorOt,DryMMoistL,Steep,B,DenvCyclone,AB,Other,Neutral,NIL,LessThanAve,SIG,Increasing,SIG
Moderate,WeakUp,Neutral,WeakUp,StrongWest,Weak,N1GtLIGt_4,PC,Jul2_Jul15,Neutral,Neutral,Weak,PartInhibit,VeryWet,Stability,PC,None,Strong,Neutral,LittleChange,Strong,Strong,None,LessUnstable,PC,E,Wet,Strong,Average,SIG,Neutral,LessUnstable,IncCapDecIns,Cloudy,Average,Westerly,SigNegative,ACEFK,LV,CDEJ,LowMtsHighPl,Stable,NoMajor,E_W_N,Other,ModerateOrLe,E,LV,CThruK,None,Wet,SIG,Average,SIG,Increasing,SIG
Weak,StronUp,WeakPos,StrongUp,StrongWest,None,N1GtLIGt_4,Clear,Aug11_Aug20,StrongUp,Neutral,None,None,Dry,Stability,Clear,PartInhibit,None,StrongUp,Increasing,None,Strong,None,MoreUnstable,Clear,B,Neutral,Weak,LessThanAve,NIL,StrongUp,MoreUnstable,DecCapIncIns,PC,Dry,LVorOther,LittleChange,B,LV,ABI,HighEvrywher,Steep,NoMajor,DenvCyclone,DryMMoistL,ModerateOrLe,,DenvCyclone,AB,Other,VeryWet,NIL,LessThanAve,NIL,Decreasing,NIL
Moderate,StronUp,WeakPos,Neutral,DCVZFavor,None,LILt_8,Clear,May15_Jun14,Down,Neutral,Strong,Stifling,Neutral,Stability,Clear,Stifling,Slight,Neutral,Increasing,Strong,Weak,Some,Average,Clear,C,Neutral,Strong,,SVR,Neutral,MoreUnstable,IncCapDecIns,Clear,Average,Westerly,NegToPos,ACEFK,NWQuad,CDEJ,LowEvrywhere,CloseToDryAd,NoMajor,E_W_N,Other,CloseToDryAd,C,LongAnticyc,CThruK,Other,Neutral,SIG,Average,SVR,Increasing,SVR
Weak,StronUp,WeakPos,WeakUp,Westerly,None,N1GtLIGt_4,Clear,May15_Jun14,Down,Neutral,Strong,PartInhibit,Neutral,Neutral,Clear,Stifling,None,Neutral,Increasing,Weak,None,None,LessUnstable,Clear,D,Neutral,Strong,Average,NIL,Neutral,Average,DecCapIncIns,Clear,Dry,Westerly,LittleChange,D,NWQuad,CDEJ,LowMtsHighPl,Steep,NoMajor,Other,Other,ModerateOrLe,D,SEQuad,CThruK,Moving,Dry,SIG,Average,NIL,Decreasing,SIG
Moderate,Neutral,WeakPos,WeakUp,DCVZFavor,None,LIGt0,PC,May15_Jun14,StrongUp,Neutral,Strong,PartInhibit,Neutral,Instability,Clear,None,Strong,WeakUp,Decreasing,Strong,Weak,Some,Average,PC,H,Neutral,Strong,LessThanAve,SIG,WeakUp,Average,IncCapDecIns,PC,Average,LVorOther,NegToPos,HI,NWQuad,H,Other,Stable,MarkedUpper,MovingFtorOt,DryMMoistL,ModerateOrLe,H,SEQuad,CThruK,None,Wet,SIG,LessThanAve,SIG,Increasing,SIG
Weak,Neutral,WeakPos,Neutral,DCVZFavor,Strong,N5GtLIGt_8,PC,May15_Jun14,Neutral,VeryWet,None,PartInhibit,Neutral,Neutral,Clear,None,Slight,Neutral,Increasing,Weak,Strong,None,MoreUnstable,Clear,H,Wet,None,Average,NIL,Neutral,MoreUnstable,DecCapIncIns,Clear,Average,LVorOther,,HI,SWQuad,H,Other,ModerateOrLe,NoMajor,MovingFtorOt,DryMMoistL,CloseToDryAd,H,E_NE,CThruK,None,Neutral,NIL,Average,NIL,Decreasing,NIL
Moderate,Neutral,Negative,Neutral,Other,None,N1GtLIGt_4,Clear,Jul16_Aug10,Down,Neutral,Strong,PartInhibit,VeryWet,Instability,Clear,Stifling,None,,Decreasing,Weak,None,Some,Average,Clear,K,Neutral,Strong,Average,NIL,Neutral,LessUnstable,DecCapIncIns,Clear,Average,LVorOther,SigPositive,ACEFK,NWQuad,K,LowSHighN,Steep,StrongFront,MovingFtorOt,Other,ModerateOrLe,K,LongAnticyc,CThruK,None,Neutral,SVR,Average,NIL,Decreasing,SVR
Weak,Neutral,Neutral,Down,StrongWest,Weak,N1GtLIGt_4,Cloudy,May15_Jun14,Neutral,Wet,Strong,None,Neutral,Neutral,PC,None,Slight,Neutral,LittleChange,Strong,Weak,None,MoreUnstable,Cloudy,G,Wet,Strong,LessThanAve,NIL,Neutral,MoreUnstable,IncCapDecIns,Cloudy,Dry,LVorOther,SigPositive,GJ,SWQuad,G,LowEvrywhere,CloseToDryAd,MarkedUpper,DryLine,MoistMDryL,CloseToDryAd,G,WidespdDnsl,CThruK,Other,Wet,SVR,LessThanAve,NIL,Increasing,SVR
Strong,Neutral,Neutral,WeakUp,StrongWest,None,N1GtLIGt_4,PC,Aug20_Sep15,Neutral,Neutral,None,PartInhibit,Wet,Stability,Clear,PartInhibit,Moderate,Neutral,LittleChange,None,Weak,None,Average,Clear,J,Wet,None,MoreThanAve,NIL,Neutral,Average,IncCapDecIns,Clear,Dry,LVorOther,SigPositive,GJ,LV,CDEJ,LowAtStation,Steep,NoMajor,DryLine,MoistMDryL,Steep,J,LV,CThruK,None,Wet,NIL,MoreThanAve,NIL,Increasing,NIL
Moderate,Neutral,WeakPos,WeakUp,Westerly,Strong,N1GtLIGt_4,Clear,Jul16_Aug10,WeakUp,Dry,Strong,Stifling,Dry,Stability,Clear,None,Strong,Neutral,Decreasing,Strong,None,Marked,LessUnstable,Clear,E,VeryWet,Strong,Average,SIG,Neutral,LessUnstable,DecCapIncIns,Clear,Dry,,LittleChange,ACEFK,AllElse,CDEJ,LowSHighN,Steep,StrongFront,Other,MoistMDryL,Steep,E,SEQuad,CThruK,None,VeryWet,SIG,Average,SIG,Decreasing,SIG
Moderate,Down,Negative,WeakUp,Other,None,N1GtLIGt_4,PC,May15_Jun14,Neutral,Neutral,Strong,PartInhibit,Wet,Stability,Clear,PartInhibit,Slight,Neutral,LittleChange,Weak,None,None,MoreUnstable,Clear,B,Neutral,Strong,MoreThanAve,NIL,Neutral,,LittleChange,PC,Dry,LVorOther,LittleChange,B,SWQuad,ABI,LowMtsHighPl,Stable,OtherRapid,DenvCyclone,DryMMoistL,Steep,B,E_NE,AB,Other,Neutral,SIG,MoreThanAve,NIL,LittleChange,SIG
Moderate,Neutral,Negative,WeakUp,DCVZFavor,None,N5GtLIGt_8,PC,Jun15_Jul1,StrongUp,Dry,Strong,PartInhibit,Neutral,Neutral,PC,None,Slight,WeakUp,Decreasing,Strong,Weak,None,LessUnstable,PC,D,Dry,Strong,MoreThanAve,NIL,WeakUp,LessUnstable,DecCapIncIns,PC,Dry,LVorOther,SigPositive,,SWQuad,CDEJ,LowEvrywhere,Steep,StrongFront,DryLine,Other,CloseToDryAd,D,DenvCyclone,CThruK,QStationary,Neutral,SIG,,NIL,Decreasing,SIG
Weak,Down,Neutral,Down,Other,Weak,N1GtLIGt_4,PC,Jul2_Jul15,Neutral,Dry,Strong,PartInhibit,VeryWet,Neutral,Clear,None,Slight,Down,,Weak,None,Some,LessUnstable,Clear,J,VeryWet,Strong,MoreThanAve,SVR,Down,LessUnstable,IncCapDecIns,Clear,Average,LVorOther,LittleChange,GJ,LV,CDEJ,LowMtsHighPl,ModerateOrLe,NoMajor,DryLine,MoistMDryL,CloseToDryAd,J,LV,CThruK,Other,Wet,SVR,MoreThanAve,SVR,Increasing,SVR
Moderate,Down,WeakPos,WeakUp,Other,Weak,N5GtLIGt_8,Cloudy,Jul16_Aug10,StrongUp,VeryWet,None,PartInhibit,Neutral,Neutral,PC,PartInhibit,None,Neutral,Increasing,None,None,Some,Average,PC,C,Wet,None,Average,NIL,Neutral,Average,DecCapIncIns,PC,Average,Westerly,NegToPos,ACEFK,NWQuad,CDEJ,Other,Steep,OtherRapid,Other,Other,Steep,C,WidespdDnsl,CThruK,Other,Wet,NIL,Average,NIL,Decreasing,NIL
Strong,StronUp,Negative,StrongUp,StrongWest,Strong,N5GtLIGt_8,Clear,Aug11_Aug20,Down,Wet,Strong,None,Neutral,Stability,PC,None,Strong,StrongUp,,Weak,None,None,MoreUnstable,PC,B,Wet,Strong,LessThanAve,SIG,StrongUp,LessUnstable,DecCapIncIns,PC,Dry,LVorOther,SigNegative,B,LV,ABI,HighEvrywher,Steep,OtherRapid,DenvCyclone,MoistMDryL,Steep,B,LV,AB,Other,Wet,SVR,LessThanAve,SIG,Decreasing,SVR
Weak,StronUp,StrongPos,WeakUp,Westerly,None,N5GtLIGt_8,PC,Jul2_Jul15,Neutral,Neutral,None,PartInhibit,Wet,Stability,Clear,None,Moderate,WeakUp,Increasing,Weak,None,None,MoreUnstable,PC,D,Wet,None,Average,NIL,WeakUp,MoreUnstable,LittleChange,PC,Dry,Westerly,SigNegative,D,SWQuad,CDEJ,Other,CloseToDryAd,OtherRapid,DryLine,DryMMoistL,CloseToDryAd,D,DenvCyclone,CThruK,None,Wet,NIL,Average,NIL,LittleChange,NIL
Moderate,Neutral,WeakPos,Neutral,DCVZFavor,Weak,N5GtLIGt_8,Cloudy,Jun15_Jul1,Neutral,Neutral,Strong,PartInhibit,Wet,Instability,PC,None,Moderate,Neutral,Increasing,Weak,Weak,None,MoreUnstable,Clear,E,Neutral,Strong,Average,SVR,Neutral,MoreUnstable,LittleChange,Clear,Average,LVorOther,LittleChange,ACEFK,AllElse,CDEJ,LowSHighN,CloseToDryAd,NoMajor,DryLine,MoistMDryL,ModerateOrLe,E,LongAnticyc,CThruK,Other,Neutral,SIG,Average,SVR,LittleChange,SVR
Weak,Neutral,Neutral,WeakUp,DCVZFavor,Weak,LILt_8,PC,Aug11_Aug20,Down,VeryWet,None,PartInhibit,Neutral,Stability,Clear,PartInhibit,Slight,Down,Decreasing,Weak,Weak,None,MoreUnstable,Clear,B,VeryWet,None,Average,SVR,Down,MoreUnstable,IncCapDecIns,Clear,VeryMoist,LVorOther,LittleChange,B,SWQuad,ABI,HighEvrywher,Steep,NoMajor,DenvCyclone,DryMMoistL,Steep,B,SEQuad,AB,Other,Wet,NIL,Average,SVR,Increasing,SVR
Moderate,StronUp,Neutral,WeakUp,Other,Weak,N1GtLIGt_4,Cloudy,Jul2_Jul15,Down,Neutral,Weak,PartInhibit,Neutral,Instability,PC,None,Slight,Neutral,LittleChange,None,None,Marked,Average,PC,C,Dry,Strong,LessThanAve,NIL,Neutral,Average,DecCapIncIns,PC,Average,Westerly,SigPositive,ACEFK,AllElse,CDEJ,Other,CloseToDryAd,MarkedUpper,E_W_N,Other,CloseToDryAd,C,LongAnticyc,CThruK,None,Neutral,SIG,LessThanAve,NIL,Decreasing,SIG
Strong,WeakUp,Negative,Neutral,DCVZFavor,Weak,N5GtLIGt_8,Clear,May15_Jun14,StrongUp,Dry,Weak,PartInhibit,Dry,Stability,Clear,None,Strong,WeakUp,Decreasing,Strong,Weak,Some,MoreUnstable,Clear,J,VeryWet,Strong,Average,SIG,WeakUp,LessUnstable,IncCapDecIns,Cloudy,Average,LVorOther,LittleChange,GJ,LV,CDEJ,LowSHighN,ModerateOrLe,NoMajor,DryLine,MoistMDryL,Steep,J,LV,CThruK,Moving,VeryWet,SIG,Average,SIG,Increasing,SIG
Weak,Neutral,Negative,Neutral,DCVZFavor,None,N5GtLIGt_8,PC,May15_Jun14,Neutral,Wet,Strong,None,Wet,Stability,PC,,Slight,Neutral,Decreasing,Strong,Weak,None,MoreUnstable,PC,B,Wet,Strong,LessThanAve,NIL,Neutral,MoreUnstable,IncCapDecIns,PC,Dry,Westerly,NegToPos,B,AllElse,ABI,,ModerateOrLe,NoMajor,E_W_S,DryMMoistL,CloseToDryAd,B,DenvCyclone,AB,QStationary,Wet,SVR,LessThanAve,NIL,Increasing,SVR
Unfavorable,Down,StrongPos,StrongUp,Westerly,Weak,N1GtLIGt_4,PC,Jun15_Jul1,Down,Dry,Strong,None,Neutral,Instability,Clear,PartInhibit,None,StrongUp,Increasing,Weak,None,None,Average,Clear,C,Dry,Strong,LessThanAve,NIL,StrongUp,Average,LittleChange,Clear,Average,Westerly,SigPositive,ACEFK,AllElse,CDEJ,Other,ModerateOrLe,MarkedUpper,E_W_N,MoistMDryL,Steep,C,LongAnticyc,CThruK,Other,Wet,SIG,LessThanAve,NIL,LittleChange,SIG
